Agriculture,Animal/Pets,Beauty/Fashion,Business Services,Children/Education,Electronics,Entertainment,Fitness/Sports/Outdoors,Food And Beverage,Green/Cleantech,Hardware,Lifestyle/Home,Liquor/Alcohol,Manufacturing,Medical/Health,Others,Technology/Software,Vehicles/Electrical Vehicles,Pitchers Average Age,Yearly Revenue,Gross Margin,Net Margin,EBITDA,Has Patents,Bootstrapped,SKUs,Original Ask Amount,Original Offered Equity,Deal Valuation,Company Age
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-2.1840936578002252,-0.292690587709301,0.03234231729856389,-0.8145650930125853,0,0,-0.7939674376352235,-0.44411732020127587,-0.38163811524876573,6.90875477931522,-1.2324497820232792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5214465299716713,0.878071763127903,0.03234231729856389,-0.8145650930125853,0,0,-1.1930658400173253,0.721085413385939,1.6434879306676604,6.504288173536645,-0.3833842155805315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22896990664991784,-0.2276482348850119,0.03234231729856389,-0.3193638364096484,1,0,0.15900613818327788,-0.5474987104402695,2.3185299459731357,3.5263605246161616,-0.3833842155805315
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5581228199156668,0.292690587709301,-0.5592598542600339,0.010770334658976213,0,0,0.15900613818327788,-1.038074514557494,0.6309249077094473,4.990432586778736,-0.3833842155805315
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5581228199156668,0.4227752933578792,-0.5592598542600339,0.010770334658976213,0,0,0.15900613818327788,-0.13879162030534128,-0.38163811524876573,7.313886831633462,-0.8079169988019053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22896990664991784,-0.292690587709301,2.102949917753656,-0.8145650930125853,0,0,0.21977730303319992,0.721085413385939,0.6309249077094473,6.2166061010848646,-0.8079169988019053
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5581228199156668,0.6179023518307466,5.208861318436294,0.010770334658976213,0,0,0.15900613818327788,-0.8162987277502921,1.6434879306676604,4.969813299576001,-0.8079169988019053
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.1840936578002252,-2.1789188196136853,-1.7424641973772295,0.17583742019328852,0,0,0.15900613818327788,-1.2930665966454171,2.3185299459731357,3.258096538021482,-1.6569825652446528
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4379365976365555,-0.1300847056485782,-0.5592598542600339,-0.4844309219439607,0,0,1.5497136900932147,-0.44411732020127587,0.2934039000567096,5.811140992976701,0.46568135086221607
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.019246969235239074,0.9431141159521922,0.03234231729856389,-0.3193638364096484,0,0,-0.9698178453464723,0.721085413385939,-0.38163811524876573,7.419380582918692,0.46568135086221607
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5581228199156668,0.292690587709301,-0.5592598542600339,0.010770334658976213,0,0,0.15900613818327788,-0.44411732020127587,1.6434879306676604,4.61512051684126,0.46568135086221607
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.0459143902487634,-0.2276482348850119,-1.1508620258186317,-0.5119421028663461,0,0,-1.836510732636129,0.721085413385939,-0.7191591229015034,7.824445930877619,0.46568135086221607
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.27034674960345517,-0.7479870574793248,0.03234231729856389,-0.8145650930125853,0,0,-0.7939674376352235,0.23612829864447285,0.2934039000567096,6.504288173536645,0.04114856764084229
